matchid,team,match_location,final_points_i,outcome,carries_i,metres_made_i,defenders_beaten_i,clean_breaks_i,offloads_i,passes_i,turnovers_conceded_i,turnovers_won_i,kicks_from_hand_i,kick_metres_i,scrums_won_i,rucks_won_i,lineout_throws_lost_i,lineout_throws_won_i,tackles_i,missed_tackles_i,penalties_conceded_i,scrum_pens_conceded_i,lineout_pens_conceded_i,general_play_pens_conceded_i,free_kicks_conceded_i,ruck_maul_tackle_pen_con_i,red_cards_i,yellow_cards_i,final_points_r,carries_r,metres_made_r,defenders_beaten_r,clean_breaks_r,offloads_r,passes_r,turnovers_conceded_r,turnovers_won_r,kicks_from_hand_r,kick_metres_r,scrums_won_r,rucks_won_r,lineout_throws_lost_r,lineout_throws_won_r,tackles_r,missed_tackles_r,penalties_conceded_r,scrum_pens_conceded_r,lineout_pens_conceded_r,general_play_pens_conceded_r,free_kicks_conceded_r,ruck_maul_tackle_pen_con_r,red_cards_r,yellow_cards_r
268120,Ospreys,away,29,win,90,371,16,3,13,109,8,6,28,1127,5,2,5,13,132,28,12,0,1,4,0,4,0,2,3,-38,-168,-12,-5,2,-64,-9,3,3,139,0,-4,5,0,59,12,2,-1,0,2,0,4,0,2
268120,Benetton Rugby,home,26,loss,128,539,28,8,11,173,17,3,25,988,5,6,0,13,73,16,10,1,1,2,0,0,0,0,-3,38,168,12,5,-2,64,9,-3,-3,-139,0,4,-5,0,-59,-12,-2,1,0,-2,0,-4,0,-2
268160,Hollywoodbets Sharks,away,29,win,115,386,27,7,15,150,20,3,28,980,7,6,3,12,112,20,6,1,0,1,1,0,0,1,22,20,132,7,4,10,12,10,-3,-2,-272,-4,1,3,2,-20,-7,-4,1,0,1,1,0,0,0
268160,Benetton Rugby,home,7,loss,95,254,20,3,5,138,10,6,30,1252,11,5,0,10,132,27,10,0,0,0,0,0,0,1,-22,-20,-132,-7,-4,-10,-12,-10,3,2,272,4,-1,-3,-2,20,7,4,-1,0,-1,-1,0,0,0
268126,Zebre Parma,home,10,loss,72,150,8,1,11,94,17,10,16,659,10,5,2,9,130,23,12,1,0,4,0,4,0,1,-17,-46,-222,-15,-4,-2,-63,5,4,-4,-49,3,-5,2,-9,57,15,4,0,0,3,0,2,0,1
268126,Edinburgh Rugby,away,27,win,118,372,23,5,13,157,12,6,20,708,7,10,0,18,73,8,8,1,0,1,0,2,0,0,17,46,222,15,4,2,63,-5,-4,4,49,-3,5,-2,9,-57,-15,-4,0,0,-3,0,-2,0,-1
268209,Dragons RFC,away,3,loss,87,139,9,2,12,116,10,8,24,836,3,4,3,11,130,16,13,4,0,7,1,2,0,3,-48,-33,-310,-7,-6,6,-29,1,2,-9,-311,-4,-1,1,-3,44,7,8,4,0,7,1,1,0,3
268209,Hollywoodbets Sharks,home,51,win,120,449,16,8,6,145,9,6,33,1147,7,5,2,14,86,9,5,0,0,0,0,1,0,0,48,33,310,7,6,-6,29,-1,-2,9,311,4,1,-1,3,-44,-7,-8,-4,0,-7,-1,-1,0,-3
268156,Leinster Rugby,away,13,loss,147,257,9,2,3,137,10,5,42,1607,5,3,4,10,133,12,11,1,2,2,2,1,0,0,-5,48,-5,-3,0,-2,39,2,-1,1,106,-2,-3,1,0,-78,3,2,1,2,-3,1,-2,0,0
268156,Ulster Rugby,home,18,win,99,262,12,2,5,98,8,6,41,1501,7,6,3,10,211,9,9,0,0,5,1,3,0,0,5,-48,5,3,0,2,-39,-2,1,-1,-106,2,3,-1,0,78,-3,-2,-1,-2,3,-1,2,0,0
268124,Hollywoodbets Sharks,away,17,loss,97,251,12,1,4,96,15,9,26,1129,4,6,1,15,102,14,10,1,0,2,1,3,0,0,-6,-1,-74,-2,-3,-1,-16,5,-3,-5,-89,-3,1,-1,8,-12,2,-3,0,-1,0,1,1,0,0
268124,Cardiff Rugby,home,23,win,98,325,14,4,5,112,10,12,31,1218,7,5,2,7,114,12,13,1,1,2,0,2,0,0,6,1,74,2,3,1,16,-5,3,5,89,3,-1,1,-8,12,-2,3,0,1,0,-1,-1,0,0
268229,Zebre Parma,away,20,loss,112,389,22,5,9,169,15,4,20,659,11,3,5,13,118,13,9,2,1,0,0,1,0,0,-2,18,35,9,-3,1,47,4,-4,0,-119,4,-5,4,-3,-19,-9,-2,-1,1,-1,-2,-1,0,0
268229,Connacht Rugby,home,22,win,94,354,13,8,8,122,11,8,20,778,7,8,1,16,137,22,11,3,0,1,2,2,0,0,2,-18,-35,-9,3,-1,-47,-4,4,0,119,-4,5,-4,3,19,9,2,1,-1,1,2,1,0,0
268223,Glasgow Warriors,away,17,loss,87,270,13,4,4,145,11,2,20,850,3,8,1,17,103,4,16,4,1,2,3,2,0,1,-12,11,56,9,0,0,52,0,-1,-4,28,-5,4,-3,-1,0,-9,2,2,1,-5,3,0,0,0
268223,Vodacom Bulls,home,29,win,76,214,4,4,4,93,11,3,24,822,8,4,4,18,103,13,14,2,0,7,0,2,0,1,12,-11,-56,-9,0,0,-52,0,1,4,-28,5,-4,3,1,0,9,-2,-2,-1,5,-3,0,0,0
268194,Benetton Rugby,home,17,loss,73,342,7,3,5,74,11,7,23,885,5,2,1,9,185,23,15,2,0,5,1,3,0,0,-44,-82,-242,-16,-6,-6,-154,1,0,-1,-284,1,-2,-1,-8,102,16,6,1,0,1,1,3,0,0
268194,Leinster Rugby,away,61,win,155,584,23,9,11,228,10,7,24,1169,4,4,2,17,83,7,9,1,0,4,0,0,0,0,44,82,242,16,6,6,154,-1,0,1,284,-1,2,1,8,-102,-16,-6,-1,0,-1,-1,-3,0,0
268161,Zebre Parma,home,7,loss,68,252,11,2,3,86,12,10,26,1084,8,5,3,7,148,21,13,3,2,2,1,0,0,0,-38,-56,-230,-10,-3,-13,-72,-7,6,3,-72,0,1,-1,-10,58,10,6,-1,2,1,0,-1,0,-1
268161,Vodacom Bulls,away,45,win,124,482,21,5,16,158,19,4,23,1156,8,4,4,17,90,11,7,4,0,1,1,1,0,1,38,56,230,10,3,13,72,7,-6,-3,72,0,-1,1,10,-58,-10,-6,1,-2,-1,0,1,0,1
268225,Hollywoodbets Sharks,home,41,win,106,389,23,7,9,117,10,7,27,870,4,4,1,12,91,9,14,2,0,2,1,3,0,0,20,14,149,14,5,-2,-1,-1,1,8,91,-1,-1,0,0,-27,-14,6,0,0,0,1,1,0,-1
268225,Connacht Rugby,away,21,loss,92,240,9,2,11,118,11,6,19,779,5,5,1,12,118,23,8,2,0,2,0,2,0,1,-20,-14,-149,-14,-5,2,1,1,-1,-8,-91,1,1,0,0,27,14,-6,0,0,0,-1,-1,0,1
268191,DHL Stormers,away,30,win,68,286,12,5,5,90,13,3,21,942,4,4,3,13,164,22,17,4,1,3,0,3,0,1,4,-49,-58,-9,-1,-3,-48,3,-2,1,136,-2,-8,2,-7,101,10,6,2,1,-1,0,2,0,0
268191,Vodacom Bulls,home,26,loss,117,344,21,6,8,138,10,5,20,806,6,12,1,20,63,12,11,2,0,4,0,1,0,1,-4,49,58,9,1,3,48,-3,2,-1,-136,2,8,-2,7,-101,-10,-6,-2,-1,1,0,-2,0,0
268142,Zebre Parma,away,6,loss,88,261,13,1,9,78,12,9,23,752,10,8,4,8,132,15,16,2,0,5,0,2,0,2,-32,-25,-267,-2,-8,-8,-83,-8,0,6,47,7,3,2,-11,44,2,2,0,-2,2,-1,0,0,1
268142,Hollywoodbets Sharks,home,38,win,113,528,15,9,17,161,20,9,17,705,3,5,2,19,88,13,14,2,2,3,1,2,0,1,32,25,267,2,8,8,83,8,0,-6,-47,-7,-3,-2,11,-44,-2,-2,0,2,-2,1,0,0,-1
268165,Ulster Rugby,away,13,loss,97,187,9,0,1,118,9,7,23,654,5,8,3,17,224,14,9,0,0,4,0,3,0,1,-5,-51,-117,-5,-1,-6,-22,-6,0,-5,-158,1,5,3,8,103,5,-3,-3,0,1,-2,-2,-1,1
268165,Munster Rugby,home,18,win,148,304,14,1,7,140,15,7,28,812,4,3,0,9,121,9,12,3,0,3,2,5,1,0,5,51,117,5,1,6,22,6,0,5,158,-1,-5,-3,-8,-103,-5,3,3,0,-1,2,2,1,-1
268105,Zebre Parma,home,3,loss,80,218,9,2,9,98,15,6,20,532,2,4,0,10,145,28,19,7,1,4,2,3,0,2,-33,-64,-189,-19,-5,-5,-109,1,0,2,-37,-12,0,-1,-10,60,19,12,7,1,3,2,2,0,2
268105,Ulster Rugby,away,36,win,144,407,28,7,14,207,14,6,18,569,14,4,1,20,85,9,7,0,0,1,0,1,0,0,33,64,189,19,5,5,109,-1,0,-2,37,12,0,1,10,-60,-19,-12,-7,-1,-3,-2,-2,0,-2
268162,Edinburgh Rugby,home,34,win,140,724,44,12,22,210,19,8,12,549,9,10,0,15,131,20,11,2,1,1,0,1,0,0,24,18,299,24,8,18,71,3,-3,-10,-69,1,4,0,6,15,-24,0,1,0,-2,0,1,0,0
268162,Cardiff Rugby,away,10,loss,122,425,20,4,4,139,16,11,22,618,8,6,0,9,116,44,11,1,1,3,0,0,0,0,-24,-18,-299,-24,-8,-18,-71,-3,3,10,69,-1,-4,0,-6,-15,24,0,-1,0,2,0,-1,0,0
268116,Munster Rugby,away,43,win,109,411,20,7,8,98,13,7,29,918,7,4,0,12,89,9,17,3,1,3,2,7,0,0,30,10,180,11,4,-5,-61,-1,3,15,161,3,-5,-3,-5,-35,-11,9,0,0,2,2,6,0,0
268116,Scarlets,home,13,loss,99,231,9,3,13,159,14,4,14,757,4,9,3,17,124,20,8,3,1,1,0,1,0,0,-30,-10,-180,-11,-4,5,61,1,-3,-15,-161,-3,5,3,5,35,11,-9,0,0,-2,-2,-6,0,0
268118,Dragons RFC,home,10,loss,108,288,12,4,9,138,10,2,38,937,9,2,1,9,148,18,13,4,0,3,1,4,0,0,-14,-10,-11,-6,2,-1,29,-7,-3,-4,-168,3,-1,1,0,26,6,8,2,0,2,0,0,0,-1
268118,DHL Stormers,away,24,win,118,299,18,2,10,109,17,5,42,1105,6,3,0,9,122,12,5,2,0,1,1,4,0,1,14,10,11,6,-2,1,-29,7,3,4,168,-3,1,-1,0,-26,-6,-8,-2,0,-2,0,0,0,1
268187,Munster Rugby,home,64,win,157,760,38,16,16,235,13,6,23,853,3,4,1,17,90,7,9,0,1,0,0,2,0,0,61,84,574,31,14,13,136,2,-2,4,145,-4,-3,-4,9,-76,-31,0,-1,1,-1,0,-3,0,0
268187,Dragons RFC,away,3,loss,73,186,7,2,3,99,11,8,19,708,7,7,5,8,166,38,9,1,0,1,0,5,0,0,-61,-84,-574,-31,-14,-13,-136,-2,2,-4,-145,4,3,4,-9,76,31,0,1,-1,1,0,3,0,0
268121,Scarlets,away,15,loss,83,280,12,3,7,112,12,8,19,576,10,5,2,6,143,32,14,5,0,0,0,2,0,1,-35,-68,-348,-20,-8,-13,-94,-8,2,0,-30,4,0,2,-7,55,20,7,2,-1,0,-1,1,0,1
268121,Leinster Rugby,home,50,win,151,628,32,11,20,206,20,6,19,606,6,5,0,13,88,12,7,3,1,0,1,1,0,0,35,68,348,20,8,13,94,8,-2,0,30,-4,0,-2,7,-55,-20,-7,-2,1,0,1,-1,0,-1
268183,Connacht Rugby,away,29,win,102,367,11,2,7,118,11,3,28,1190,9,10,2,11,166,6,15,1,0,4,0,2,1,1,6,-13,13,5,0,1,-13,1,-3,-2,23,5,6,-1,-4,52,-5,5,0,-3,2,0,2,1,1
268183,Scarlets,home,23,loss,115,354,6,2,6,131,10,6,30,1167,4,4,3,15,114,11,10,1,3,2,0,0,0,0,-6,13,-13,-5,0,-1,13,-1,3,2,-23,-5,-6,1,4,-52,5,-5,0,3,-2,0,-2,-1,-1
268096,Benetton Rugby,home,22,win,147,431,21,4,20,144,10,5,25,935,7,13,1,17,48,16,10,0,0,1,0,1,0,0,4,89,190,5,-1,14,66,0,-2,1,-121,2,8,-2,7,-151,-5,-1,-2,0,-2,0,-1,0,0
268096,DHL Stormers,away,18,loss,58,241,16,5,6,78,10,7,24,1056,5,5,3,10,199,21,11,2,0,3,0,2,0,0,-4,-89,-190,-5,1,-14,-66,0,2,-1,121,-2,-8,2,-7,151,5,1,2,0,2,0,1,0,0
268136,Vodacom Bulls,home,29,win,105,411,26,4,17,132,11,6,22,704,1,4,2,13,118,3,8,1,0,4,0,1,1,0,5,13,181,23,3,7,17,3,2,3,-95,-3,-2,-3,3,15,-23,-4,1,0,-3,0,-3,1,-1
268136,Munster Rugby,away,24,loss,92,230,3,1,10,115,8,4,19,799,4,6,5,10,103,26,12,0,0,7,0,4,0,1,-5,-13,-181,-23,-3,-7,-17,-3,-2,-3,95,3,2,3,-3,-15,23,4,-1,0,3,0,3,-1,1
268137,Ulster Rugby,away,20,win,147,335,23,3,7,152,6,7,27,748,3,7,2,16,190,20,11,0,0,2,0,3,0,0,10,-3,-9,3,-2,1,-33,-4,-2,7,91,2,-2,1,2,-22,-3,-4,0,0,0,0,-1,0,0
268137,Leinster Rugby,home,10,loss,150,344,20,5,6,185,10,9,20,657,1,9,1,14,212,23,15,0,0,2,0,4,0,0,-10,3,9,-3,2,-1,33,4,2,-7,-91,-2,2,-1,-2,22,3,4,0,0,0,0,1,0,0
268149,Ulster Rugby,home,32,win,128,448,32,8,9,183,13,9,23,626,9,11,3,11,121,19,9,1,0,1,1,1,0,0,20,30,194,13,5,6,50,-1,-1,5,-36,2,1,3,-3,-19,-13,-6,0,0,-4,1,-3,0,-2
268149,Connacht Rugby,away,12,loss,98,254,19,3,3,133,14,10,18,662,7,10,0,14,140,32,15,1,0,5,0,4,0,2,-20,-30,-194,-13,-5,-6,-50,1,1,-5,36,-2,-1,-3,3,19,13,6,0,0,4,-1,3,0,2
268104,Glasgow Warriors,home,35,win,121,426,15,7,24,155,11,5,22,669,6,4,2,11,97,4,13,2,1,3,0,4,0,1,11,44,204,11,7,19,70,-4,-3,4,-44,1,1,-4,-1,-19,-11,3,1,1,0,0,0,0,0
268104,Hollywoodbets Sharks,away,24,loss,77,222,4,0,5,85,15,8,18,713,5,3,6,12,116,15,10,1,0,3,0,4,0,1,-11,-44,-204,-11,-7,-19,-70,4,3,-4,44,-1,-1,4,1,19,11,-3,-1,-1,0,0,0,0,0
268145,Glasgow Warriors,home,33,win,136,570,25,11,12,147,13,4,21,835,4,6,3,16,130,9,13,1,1,3,2,0,0,0,19,37,303,16,9,8,36,5,-4,-4,-42,0,4,1,5,-29,-16,2,1,0,-1,2,0,0,0
268145,Dragons RFC,away,14,loss,99,267,9,2,4,111,8,8,25,877,4,2,2,11,159,25,11,0,1,4,0,0,0,0,-19,-37,-303,-16,-9,-8,-36,-5,4,4,42,0,-4,-1,-5,29,16,-2,-1,0,1,-2,0,0,0
268113,Connacht Rugby,home,22,loss,147,424,20,5,14,163,18,6,16,620,5,8,0,14,151,24,11,3,0,2,1,4,0,0,-13,25,69,-4,0,8,27,5,-3,-9,-96,-3,4,-2,7,-30,4,-3,1,0,-2,1,-1,0,-1
268113,Dragons RFC,away,35,win,122,355,24,5,6,136,13,9,25,716,8,4,2,7,181,20,14,2,0,4,0,5,0,1,13,-25,-69,4,0,-8,-27,-5,3,9,96,3,-4,2,-7,30,-4,3,-1,0,2,-1,1,0,1
268097,Vodacom Bulls,away,3,loss,124,375,17,4,14,133,15,5,23,1108,5,5,3,13,128,31,11,4,0,3,1,2,0,0,-28,-7,-243,-14,-2,0,-34,1,-3,-2,38,-1,-1,3,0,-20,14,-4,1,0,-2,0,-2,0,0
268097,Leinster Rugby,home,31,win,131,618,31,6,14,167,14,8,25,1070,6,6,0,13,148,17,15,3,0,5,1,4,0,0,28,7,243,14,2,0,34,-1,3,2,-38,1,1,-3,0,20,-14,4,-1,0,2,0,2,0,0
268174,Zebre Parma,home,17,loss,96,195,16,4,5,107,10,4,19,547,8,3,2,11,106,20,10,3,0,3,1,1,0,0,-17,4,-124,-4,0,-5,-8,1,-1,0,-196,3,-2,1,-2,-19,4,-1,0,0,2,1,0,0,0
268174,Munster Rugby,away,34,win,92,319,20,4,10,115,9,5,19,743,5,5,1,13,125,16,11,3,0,1,0,1,0,0,17,-4,124,4,0,5,8,-1,1,0,196,-3,2,-1,2,19,-4,1,0,0,-2,-1,0,0,0
