matchid,team,match_location,final_points_i,outcome,carries_i,metres_made_i,defenders_beaten_i,clean_breaks_i,offloads_i,passes_i,turnovers_conceded_i,turnovers_won_i,kicks_from_hand_i,kick_metres_i,scrums_won_i,rucks_won_i,lineout_throws_lost_i,lineout_throws_won_i,tackles_i,missed_tackles_i,penalties_conceded_i,scrum_pens_conceded_i,lineout_pens_conceded_i,general_play_pens_conceded_i,free_kicks_conceded_i,ruck_maul_tackle_pen_con_i,red_cards_i,yellow_cards_i,final_points_r,carries_r,metres_made_r,defenders_beaten_r,clean_breaks_r,offloads_r,passes_r,turnovers_conceded_r,turnovers_won_r,kicks_from_hand_r,kick_metres_r,scrums_won_r,rucks_won_r,lineout_throws_lost_r,lineout_throws_won_r,tackles_r,missed_tackles_r,penalties_conceded_r,scrum_pens_conceded_r,lineout_pens_conceded_r,general_play_pens_conceded_r,free_kicks_conceded_r,ruck_maul_tackle_pen_con_r,red_cards_r,yellow_cards_r
1,T14,away,24,loss,92,230,3,1,10,115,8,4,19,799,4,6,5,10,103,26,12,0,0,7,0,4,0,1,-5,-13,-181,-23,-3,-7,-17,-3,-2,-3,95,3,2,3,-3,-15,23,4,-1,0,3,0,3,-1,1
2,T10,home,20,loss,125,312,8,3,6,135,9,4,22,863,4,5,5,5,141,15,12,1,0,4,1,3,0,1,-22,-2,-97,-7,-3,-3,-37,3,-5,-7,-486,-1,3,3,-5,-32,8,2,1,0,2,1,-1,0,0
3,T1,away,15,loss,97,304,13,5,6,145,13,8,20,753,5,7,1,6,147,28,6,5,0,1,0,0,0,0,-30,-31,-319,-15,-4,-16,-29,-3,3,0,-33,-1,2,1,-3,34,15,-1,3,-1,-1,-1,-1,0,0
4,T2,home,22,win,147,431,21,4,20,144,10,5,25,935,7,13,1,17,48,16,10,0,0,1,0,1,0,0,4,89,190,5,-1,14,66,0,-2,1,-121,2,8,-2,7,-151,-5,-1,-2,0,-2,0,-1,0,0
5,T3,away,10,loss,74,275,11,3,7,103,11,2,25,816,8,7,2,9,92,19,11,1,0,5,0,2,0,0,-10,-27,-43,-8,-5,-2,-24,-7,-5,-1,-79,5,3,0,-5,13,8,2,-3,0,4,-1,1,0,0
6,T8,home,18,win,99,262,12,2,5,98,8,6,41,1501,7,6,3,10,211,9,9,0,0,5,1,3,0,0,5,-48,5,3,0,2,-39,-2,1,-1,-106,2,3,-1,0,78,-3,-2,-1,-2,3,-1,2,0,0
7,T8,away,20,win,147,335,23,3,7,152,6,7,27,748,3,7,2,16,190,20,11,0,0,2,0,3,0,0,10,-3,-9,3,-2,1,-33,-4,-2,7,91,2,-2,1,2,-22,-3,-4,0,0,0,0,-1,0,0
8,T6,home,6,loss,102,265,14,2,4,131,15,6,37,988,9,6,4,10,169,18,12,3,1,2,0,1,0,2,-1,-43,-211,-4,-3,-8,-43,-7,1,0,93,5,1,-1,-9,43,4,0,1,1,-2,-1,-1,0,2
9,T8,home,35,win,92,305,11,6,6,101,13,3,19,589,5,6,4,11,214,23,8,2,0,2,0,2,0,1,6,-73,7,-12,1,-2,-72,-1,-4,-6,-130,-6,-2,4,0,93,12,-1,2,0,1,0,0,0,0
10,T11,home,38,win,140,538,23,7,9,173,11,8,21,562,7,6,0,16,81,11,9,2,0,1,1,2,0,0,19,66,277,12,4,2,67,-1,0,1,-69,4,0,0,10,-82,-12,-4,-2,0,0,-1,0,0,0
11,T3,away,27,win,90,451,14,8,9,113,16,9,41,1784,7,5,1,8,103,15,10,4,0,3,1,1,0,0,14,3,99,-1,6,6,-21,-5,0,6,220,0,3,0,-5,8,1,2,2,-1,0,1,0,0,0
12,T15,home,13,loss,99,231,9,3,13,159,14,4,14,757,4,9,3,17,124,20,8,3,1,1,0,1,0,0,-30,-10,-180,-11,-4,5,61,1,-3,-15,-161,-3,5,3,5,35,11,-9,0,0,-2,-2,-6,0,0
13,T4,home,23,win,137,452,29,3,9,189,10,5,19,794,6,7,1,13,92,12,10,0,0,3,0,3,0,0,5,59,226,17,0,1,65,1,0,-6,-280,4,3,-1,0,-74,-17,-6,-3,0,-1,-1,-1,0,-2
14,T13,home,32,win,99,448,15,7,16,132,11,6,20,851,9,6,4,12,79,11,8,1,1,0,0,1,0,0,25,35,287,4,6,11,53,0,-6,0,-59,3,-1,4,-2,-16,-4,-8,-1,0,-3,0,-2,0,-1
15,T12,away,3,loss,124,375,17,4,14,133,15,5,23,1108,5,5,3,13,128,31,11,4,0,3,1,2,0,0,-28,-7,-243,-14,-2,0,-34,1,-3,-2,38,-1,-1,3,0,-20,14,-4,1,0,-2,0,-2,0,0
16,T5,home,29,win,134,313,19,5,7,146,13,8,20,718,3,5,1,11,85,22,9,2,0,3,0,4,1,1,3,52,-65,-3,-3,-7,40,-3,3,8,144,-7,2,-1,5,-89,3,-2,0,0,1,-1,-1,1,1
17,T5,away,27,win,118,372,23,5,13,157,12,6,20,708,7,10,0,18,73,8,8,1,0,1,0,2,0,0,17,46,222,15,4,2,63,-5,-4,4,49,-3,5,-2,9,-57,-15,-4,0,0,-3,0,-2,0,-1
18,T16,home,37,loss,106,338,12,8,7,103,19,8,18,640,3,7,3,8,64,16,7,2,0,1,0,2,0,0,-10,18,8,-4,-1,-10,-3,6,-2,-7,-303,-4,1,3,-1,-41,4,-5,1,0,-4,0,-1,0,0
19,T10,away,33,win,72,207,9,4,8,82,7,8,21,875,5,4,2,10,118,25,12,1,0,5,0,2,0,0,3,-40,-175,-16,0,-7,-29,-5,3,5,73,4,-2,1,-3,53,16,-1,0,0,4,0,1,0,-1
20,T15,home,35,win,124,398,16,5,13,172,10,7,31,955,10,4,0,15,140,18,11,2,0,3,1,2,0,0,25,-3,39,-2,4,3,8,-5,1,8,10,7,-5,-2,2,-9,2,3,1,-2,1,0,2,0,0
21,T15,away,41,win,97,431,14,7,21,120,16,8,29,950,5,5,2,13,136,30,9,0,0,3,0,2,0,0,17,-49,-51,-16,-2,-3,-61,-1,1,6,-8,2,2,-2,-4,64,16,3,-1,-1,1,0,1,0,0
22,T13,away,17,loss,71,270,6,2,1,90,14,7,27,762,7,1,3,8,189,20,10,4,0,3,2,3,0,2,-2,-81,-136,-14,-3,-12,-109,2,4,8,-53,0,-6,0,-4,95,14,6,2,0,3,2,3,0,2
23,T12,away,38,win,109,370,19,5,16,136,19,9,18,780,4,4,0,12,116,11,10,4,0,0,0,2,0,0,7,-2,46,8,1,9,-5,10,-3,-4,123,-4,-3,-2,5,9,-8,1,3,0,-2,0,0,0,0
24,T6,home,11,loss,99,466,11,5,14,178,16,13,20,731,8,8,1,14,104,20,12,3,0,2,1,0,0,0,-10,5,-23,-9,-1,6,53,-5,6,6,131,0,4,1,1,17,9,1,1,0,1,1,-2,0,0
25,T8,away,13,loss,181,432,18,3,17,219,12,5,21,592,2,12,1,18,96,8,13,5,0,1,1,3,0,0,-6,104,292,10,2,12,126,6,-5,-4,-238,-7,2,0,11,-137,-10,1,5,0,-2,1,-1,0,-1
26,T1,home,18,win,75,170,5,1,6,87,13,8,26,1249,8,6,2,17,153,12,7,2,0,0,1,0,0,1,4,-51,-262,-7,-5,-2,-91,-2,1,3,418,1,0,0,8,63,7,-10,-3,-2,-3,0,-3,0,0
27,T5,home,20,draw,141,459,30,4,6,185,12,6,28,711,7,4,2,14,69,18,11,2,0,0,1,2,0,0,0,70,192,12,0,-2,96,-2,0,7,-15,0,1,1,3,-114,-11,-2,0,0,-6,-1,-2,0,0
28,T10,away,19,loss,157,406,23,5,16,190,12,6,20,886,6,7,0,14,122,21,12,2,1,2,1,2,0,0,-28,54,-74,3,-2,9,61,-5,0,-3,-44,2,4,0,1,-71,-2,-2,-2,1,-3,-1,-1,0,0
29,T5,away,19,loss,118,392,16,3,6,126,13,7,26,714,7,7,0,14,64,10,13,3,0,4,1,2,0,0,-4,54,178,6,0,1,53,1,-3,2,-196,1,2,0,2,-90,-6,4,0,0,3,0,1,0,-1
30,T10,away,8,loss,71,274,8,4,9,111,10,2,11,473,7,7,3,6,157,29,15,4,0,4,0,1,0,0,-48,-64,-273,-21,-7,-3,-50,-2,-5,-8,-313,-2,4,3,-8,90,21,8,3,0,1,0,-1,0,-1
31,T2,away,29,loss,91,414,11,6,11,131,12,7,18,596,5,9,1,16,125,22,17,1,0,3,0,4,0,1,-8,-19,-54,-11,0,-4,-8,5,-1,3,-33,0,2,-3,5,23,11,3,-1,-1,1,-1,2,0,0
32,T7,away,31,win,121,381,17,6,5,145,9,10,22,773,6,2,3,9,177,19,14,3,0,5,1,6,0,2,16,-30,86,-2,3,-8,-31,-7,6,1,-22,2,-5,2,-4,38,2,5,1,0,4,1,5,0,2
33,T5,home,17,win,113,362,26,5,9,116,10,14,29,803,7,8,4,13,130,18,14,1,2,4,0,2,0,0,7,17,102,8,2,2,27,-6,8,10,90,4,0,2,0,9,-8,-3,-4,1,3,0,-1,0,0
34,T16,home,30,loss,112,382,25,4,15,111,12,5,16,802,1,6,1,13,65,9,13,1,0,1,0,1,0,1,-3,40,175,16,0,7,29,5,-3,-5,-73,-4,2,-1,3,-53,-16,1,0,0,-4,0,-1,0,1
35,T15,away,20,loss,110,307,18,5,5,132,12,7,26,841,5,11,0,9,172,27,18,3,0,7,0,1,0,2,-17,-26,-111,-9,0,-2,-1,-4,-2,-2,-172,-3,5,-1,-2,55,9,11,3,0,5,0,-1,0,2
