matchid,team,match_location,final_points_i,outcome,carries_i,metres_made_i,defenders_beaten_i,clean_breaks_i,offloads_i,passes_i,turnovers_conceded_i,turnovers_won_i,kicks_from_hand_i,kick_metres_i,scrums_won_i,rucks_won_i,lineout_throws_lost_i,lineout_throws_won_i,tackles_i,missed_tackles_i,penalties_conceded_i,scrum_pens_conceded_i,lineout_pens_conceded_i,general_play_pens_conceded_i,free_kicks_conceded_i,ruck_maul_tackle_pen_con_i,red_cards_i,yellow_cards_i,final_points_r,carries_r,metres_made_r,defenders_beaten_r,clean_breaks_r,offloads_r,passes_r,turnovers_conceded_r,turnovers_won_r,kicks_from_hand_r,kick_metres_r,scrums_won_r,rucks_won_r,lineout_throws_lost_r,lineout_throws_won_r,tackles_r,missed_tackles_r,penalties_conceded_r,scrum_pens_conceded_r,lineout_pens_conceded_r,general_play_pens_conceded_r,free_kicks_conceded_r,ruck_maul_tackle_pen_con_r,red_cards_r,yellow_cards_r
276139,Ulster Rugby,away,40,win,87,356,12,7,10,125,9,2,26,1047,2,4,1,12,108,13,13,6,1,2,0,1,0,2,4,-21,-30,-1,5,3,0,3,0,-3,-67,-6,-2,1,-5,20,1,7,6,0,-1,0,0,0,2
276139,Zebre Parma,home,36,loss,108,386,13,2,7,125,6,2,29,1114,8,6,0,17,88,12,6,0,1,3,0,1,0,0,-4,21,30,1,-5,-3,0,-3,0,3,67,6,2,-1,5,-20,-1,-7,-6,0,1,0,0,0,-2
276140,Connacht Rugby,home,34,win,135,525,17,11,7,210,13,9,20,724,4,4,1,11,168,15,13,2,1,1,1,2,0,0,8,-2,179,2,9,2,18,3,3,-2,-60,-2,-4,-3,1,14,-2,5,0,1,1,1,0,0,0
276140,Ospreys,away,26,loss,137,346,15,2,5,192,10,6,22,784,6,8,4,10,154,17,8,2,0,0,0,2,0,0,-8,2,-179,-2,-9,-2,-18,-3,-3,2,60,2,4,3,-1,-14,2,-5,0,-1,-1,-1,0,0,0
276141,Dragons RFC,home,17,loss,81,265,7,5,11,108,12,6,25,993,4,8,1,13,98,18,19,3,1,4,1,3,0,0,-5,-13,-47,-11,0,2,-28,3,-1,0,-165,-6,3,0,-5,25,11,9,2,1,3,0,0,0,0
276141,Edinburgh Rugby,away,22,win,94,312,18,5,9,136,9,7,25,1158,10,5,1,18,73,7,10,1,0,1,1,3,0,0,5,13,47,11,0,-2,28,-3,1,0,165,6,-3,0,5,-25,-11,-9,-2,-1,-3,0,0,0,0
276142,Emirates Lions,home,33,loss,96,308,20,7,11,140,14,3,16,972,7,3,0,19,59,17,11,4,0,4,1,1,0,0,-2,26,-83,3,2,2,60,4,0,-7,174,2,1,0,8,-66,-3,0,-1,0,2,0,0,0,0
276142,DHL Stormers,away,35,win,70,391,17,5,9,80,10,3,23,798,5,2,0,11,125,20,11,5,0,2,1,1,0,0,2,-26,83,-3,-2,-2,-60,-4,0,7,-174,-2,-1,0,-8,66,3,0,1,0,-2,0,0,0,0
276143,Benetton Rugby,away,23,win,135,436,18,4,3,159,13,8,33,944,5,7,0,14,130,18,16,3,0,3,1,2,0,0,1,9,206,0,2,-7,3,1,-2,2,-237,0,0,0,2,-16,0,6,0,0,0,0,0,-1,0
276143,Cardiff Rugby,home,22,loss,126,230,18,2,10,156,12,10,31,1181,5,7,0,12,146,18,10,3,0,3,1,2,1,0,-1,-9,-206,0,-2,7,-3,-1,2,-2,237,0,0,0,-2,16,0,-6,0,0,0,0,0,1,0
276144,Munster Rugby,home,34,win,125,402,16,7,11,173,10,8,25,863,6,5,3,14,139,29,6,2,0,1,1,3,0,0,13,0,-10,-13,1,3,-13,-3,2,8,193,0,-2,3,1,-13,13,-6,1,-1,-1,1,0,0,-1
276144,Hollywoodbets Sharks,away,21,loss,125,412,29,6,8,186,13,6,17,670,6,7,0,13,152,16,12,1,1,2,0,3,0,1,-13,0,10,13,-1,-3,13,3,-2,-8,-193,0,2,-3,-1,13,-13,6,-1,1,1,-1,0,0,1
276145,Vodacom Bulls,home,63,win,121,661,19,10,18,144,14,5,22,731,6,5,1,14,89,9,10,3,0,2,2,2,0,0,42,37,375,10,3,6,34,1,-1,9,155,-1,1,-2,8,-17,-10,-1,0,0,-1,2,0,0,0
276145,Scarlets,away,21,loss,84,286,9,7,12,110,13,6,13,576,7,4,3,6,106,19,11,3,0,3,0,2,0,0,-42,-37,-375,-10,-3,-6,-34,-1,1,-9,-155,1,-1,2,-8,17,10,1,0,0,1,-2,0,0,0
276146,Glasgow Warriors,home,43,win,119,449,31,9,13,160,7,8,14,607,9,5,4,12,189,18,15,1,0,1,0,4,0,1,18,-22,21,13,8,9,-5,-6,3,4,55,4,0,4,2,66,-13,0,-4,0,0,-1,-1,0,-1
276146,Leinster Rugby,away,25,loss,141,428,18,1,4,165,13,5,10,552,5,5,0,10,123,31,15,5,0,1,1,5,0,2,-18,22,-21,-13,-8,-9,5,6,-3,-4,-55,-4,0,-4,-2,-66,13,0,4,0,0,1,1,0,1
276147,Zebre Parma,away,31,loss,84,231,16,6,6,94,16,5,25,988,6,2,0,13,112,16,13,4,0,4,0,1,0,1,-3,-25,-212,0,-2,1,-54,5,-2,-3,-48,-3,-1,-2,0,20,0,6,2,0,3,0,1,0,1
